epoch,stage,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1,lr,is_best
1,stage1_freeze,2.859853265285492,0.29875,2.7811367607116697,0.42,0.4207364685004436,0.4207364685004437,0.001,True
2,stage1_freeze,2.3500693154335024,0.36875,2.459053497314453,0.45,0.4485004198459348,0.4485004198459348,0.001,True
3,stage1_freeze,2.0840154910087585,0.44,2.2176554679870604,0.47,0.47031194295900175,0.4703119429590018,0.001,True
4,stage1_freeze,1.9091750943660737,0.46875,2.064981050491333,0.47,0.46923092523061233,0.4692309252306123,0.001,False
5,stage1_freeze,1.6444311499595643,0.50375,1.9034047317504883,0.53,0.5246472979435677,0.5246472979435677,0.001,True
6,stage2_unfreeze,1.4725328767299652,0.58375,1.3390458393096925,0.67,0.6660606060606061,0.6660606060606061,0.0001,True
7,stage2_unfreeze,0.37666694581508636,0.86625,1.398053059577942,0.63,0.618248322036973,0.618248322036973,0.0001,False
8,stage2_unfreeze,0.18864943917840718,0.93,1.3572767639160157,0.68,0.6776910683984554,0.6776910683984554,0.0001,True
9,stage2_unfreeze,0.1483762712404132,0.96,1.3224339294433594,0.66,0.6544860294178871,0.654486029417887,0.0001,False
10,stage2_unfreeze,0.11910259600728751,0.965,1.236000552177429,0.67,0.6634498009730209,0.6634498009730208,0.0001,False
11,stage2_unfreeze,0.10386088516563177,0.96125,1.2189106559753418,0.67,0.6649665551839465,0.6649665551839464,0.0001,False
12,stage2_unfreeze,0.072696885750629,0.975,1.3086739826202392,0.66,0.6552516595977402,0.6552516595977402,0.0001,False
13,stage2_unfreeze,0.04861675835214555,0.97875,1.318595952987671,0.66,0.6569550536012851,0.656955053601285,0.0001,False
