epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1,lr,is_best
1,1.6662899088859557,0.60875,1.5817917490005493,0.66,0.6513338241279418,0.6513338241279417,1e-05,True
2,1.3361645662784576,0.65875,1.4040759897232056,0.64,0.629789550072569,0.629789550072569,1e-05,False
3,1.082058503627777,0.6975,1.3225410747528077,0.66,0.6493123978167696,0.6493123978167696,1e-05,False
4,0.8463352338969707,0.735,1.347555627822876,0.69,0.6869638632634529,0.6869638632634527,1e-05,True
5,0.7013624635338783,0.77375,1.20330952167511,0.69,0.68524064171123,0.6852406417112299,1e-05,False
6,0.6124783486127854,0.80625,1.176409001350403,0.71,0.7070612363074844,0.7070612363074844,1e-05,True
7,0.5886748149991036,0.7925,1.1350705575942994,0.71,0.707257314738857,0.707257314738857,1e-05,True
8,0.5114759561419487,0.82125,1.1075095319747925,0.71,0.7074791426004363,0.7074791426004364,1e-05,True
9,0.45902491435408593,0.8475,1.1040945768356323,0.7,0.6966791547536888,0.6966791547536889,1e-05,False
10,0.387927019149065,0.8575,1.130463914871216,0.73,0.7269061441702951,0.7269061441702951,1e-05,True
11,0.33071472235023974,0.88125,1.087360553741455,0.69,0.6865434779112591,0.686543477911259,1e-05,False
12,0.25799928154796364,0.90625,1.053527956008911,0.71,0.7090064102564103,0.7090064102564102,1e-05,False
13,0.2750144093483686,0.89375,1.0756985569000244,0.71,0.7076753749395259,0.7076753749395259,1e-05,False
14,0.1920306496322155,0.925,1.1253362941741942,0.71,0.7090667690971643,0.7090667690971643,1e-05,False
15,0.22555972181260586,0.9175,1.0346117639541625,0.73,0.7290659340659341,0.729065934065934,1e-05,True
16,0.21798772980459036,0.91625,1.0504962921142578,0.74,0.7387383696955298,0.7387383696955299,1e-05,True
17,0.154123257920146,0.94875,1.0659923934936524,0.72,0.719343737494998,0.719343737494998,1e-05,False
18,0.17222414948046208,0.935,1.1326358699798584,0.72,0.7164806122554015,0.7164806122554015,1e-05,False
19,0.15511114973574877,0.93625,1.066018443107605,0.72,0.7181295595161141,0.718129559516114,5e-06,False
20,0.1467188072577119,0.95375,1.0643605709075927,0.71,0.7068575322541704,0.7068575322541701,5e-06,False
