epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_weighted_f1,lr,is_best
1,1.583799660205841,0.62125,1.3608556938171388,0.68,0.6560840055085579,0.6785477736244999,1e-05,True
2,1.2102814648300408,0.67,1.3155111074447632,0.65,0.6229344729344729,0.6461823361823362,1e-05,False
3,1.0333576309680939,0.70875,1.1977863693237305,0.67,0.6461421438601966,0.6684545170853486,1e-05,False
4,0.821354887187481,0.7375,1.1953411149978637,0.68,0.6578108775184488,0.6784227937825391,1e-05,True
5,0.7178747879713774,0.78625,1.1593009662628173,0.7,0.683397790681849,0.6950395817266252,1e-05,True
6,0.5551093235611916,0.8175,1.127866678237915,0.69,0.6720341657789877,0.6881307452558488,1e-05,False
7,0.5754303455352783,0.7975,1.0115551519393922,0.71,0.6945266419520832,0.7091893985503238,1e-05,True
8,0.5262460292875767,0.82375,1.0256915664672852,0.71,0.6927819895456662,0.7082468851813398,1e-05,False
9,0.4651386667788029,0.855,1.0378109645843505,0.69,0.6766161799707476,0.6891398991358331,1e-05,False
10,0.3816782453656197,0.8725,1.0694071340560913,0.71,0.6927819895456662,0.7082468851813398,1e-05,False
11,0.3182747268676758,0.885,1.0597400903701781,0.71,0.689444704171212,0.7067425068827593,5e-06,False
12,0.2892354219406843,0.9,0.980126953125,0.71,0.6944529147258709,0.7084402872367985,5e-06,False
